speechiness,loudness,danceability,energy,acousticness,target
3420,-5712,890,7010,306000,3
2420,-5369,648,5470,69600000,3
5300,-10013,542,5610,12600000,3
5510,-12698,669,6730,64700000,3
3300,-9943,626,5970,61400000,3
1950,-7077,600,7700,40000,3
282,-4022,666,5100,828000,3
1600,-11982,742,4540,31100000,3
1240,-6531,619,5890,43000000,3
5590,-10073,827,3940,25300000,3
3840,-8256,759,5380,15100000,3
2240,-3965,928,7490,4250000,3
2000,-9358,887,4850,3920000,3
3920,-8683,889,7050,38900000,3
2680,-6249,686,7570,51300000,3
331,-5758,789,8810,10900000,3
3030,-5141,735,8550,35100000,3
3480,-5709,671,6220,23600000,3
4300,-6645,758,6310,13000000,3
3030,-4644,579,7340,32100000,3
417,-7639,760,5200,394000,3
752,-7328,953,6140,717000,3
3780,-8619,774,4120,2600000,3
3050,-5348,753,7220,53300000,3
1870,-6173,725,7130,12700000,3
1190,-4010,655,8460,14400000,3
2590,-4936,778,6910,755000,3
3240,-7860,904,4980,919000,3
2850,-7111,784,5140,9570000,3
691,-2906,757,7210,196000,3
2000,-5428,898,5290,6990000,3
772,-8810,759,5870,4370000,3
4170,-7824,619,5610,10300000,3
545,-5653,751,7080,4820000,3
4430,-8024,831,6000,32000000,3
1630,-5212,550,6370,59700000,3
3990,-7587,858,5960,62100000,3
2540,-9414,812,6000,308000,3
3380,-6180,850,6800,73200000,3
598,-5528,682,5010,58900000,3
459,-5537,580,6510,2750000,3
3300,-6855,808,6270,3680000,3
2280,-3938,741,6660,11900000,3
2070,-5438,721,6750,13100000,3
1300,-13497,863,5430,5070000,3
2270,-2909,780,7170,3960000,3
847,-11824,777,3200,92700000,3
1840,-4711,845,9210,766000,3
2420,-7072,842,8310,12700000,3
680,-7057,768,7330,8230000,3
3160,-5364,738,8800,1750000,3
1680,-2876,573,8670,8530000,3
2460,-8633,613,6100,21100000,3
3490,-4972,863,6100,6550000,3
3750,-6351,874,5610,56600000,3
4170,-9363,625,5460,7680000,3
3490,-13819,947,6720,6620000,3
1000,-7949,783,3610,4740000,3
757,-13912,818,6700,12200000,3
3980,-8298,494,5060,37300000,3
2380,-6082,628,8330,40300000,3
2280,-7744,775,6490,18800000,3
978,-5324,746,9780,5550000,3
3920,-7426,793,5960,3030000,3
3110,-10289,820,4320,35200000,3
5620,-6917,567,6440,35800000,3
965,-5756,795,6530,20900000,3
1630,-6091,880,5750,41500000,3
432,-7592,854,5380,28100000,3
1250,-7600,719,6480,20000000,3
4130,-7075,938,3550,2580000,3
3300,-5483,842,8270,7200000,3
3710,-1404,415,9540,27100000,3
296,-3825,696,8150,38200000,3
1690,-3657,831,7270,44700000,3
2980,-4132,779,7550,14300000,3
459,-6167,759,6130,2300000,3
