speechiness,loudness,danceability,target
852,-4169,526,1
512,-6170,522,1
289,-12505,628,1
728,-8530,547,1
775,-4046,602,1
533,-11535,521,1
384,-4364,601,1
309,-5924,542,1
266,-9339,736,1
1220,-7902,704,1
368,-4845,252,1
397,-7543,494,1
418,-24035,124,1
410,-9251,761,1
285,-7805,655,1
447,-7007,753,1
662,-7440,346,1
343,-12766,547,1
1480,-7658,476,1
3200,-3845,281,1
3100,-5660,598,1
765,-5950,324,1
419,-5373,343,1
545,-5472,696,1
3720,-10936,531,1
647,-4902,436,1
494,-9473,469,1
309,-14310,573,1
321,-10254,575,1
1010,-4975,609,1
710,-6355,567,1
321,-4046,550,1
288,-7881,578,1
360,-8475,732,1
1280,-4955,736,1
309,-7249,407,1
358,-9832,597,1
542,-5243,368,1
415,-6301,178,1
612,-5024,459,1
323,-6261,737,1
554,-4157,344,1
1440,-9149,697,1
570,-4907,509,1
285,-7646,405,1
556,-6686,493,1
290,-4914,603,1
1010,-7649,359,1
439,-6129,510,1
337,-5485,468,1
1240,-7078,320,1
2730,-11229,763,1
580,-14112,680,1
718,-8564,532,1
269,-5855,523,1
3290,-8622,792,1
4290,-10563,747,1
260,-10917,737,1
1020,-7332,324,1
472,-7718,247,1
809,-4442,474,1
361,-7832,689,1
663,-6827,360,1
289,-8220,491,1
501,-3398,443,1
439,-5567,364,1
416,-6994,744,1
356,-4569,677,1
370,-6739,570,1
491,-6183,673,1
1380,-3632,378,1
1430,-5487,414,1
680,-7837,356,1
336,-4569,540,1
288,-7730,603,1
336,-5110,489,1
617,-7338,562,1
662,-8305,382,1
583,-2696,504,1
515,-4556,649,1
423,-4698,446,1
323,-8808,512,1
438,-5543,728,1
344,-7258,694,1
245,-9412,488,1
443,-8967,556,1
307,-5340,677,1
237,-6537,530,1
301,-9487,470,1
435,-5638,383,1
1570,-3205,510,1
474,-3662,717,1
965,-7652,528,1
388,-4025,481,1
648,-5734,343,1
342,-19926,252,1
345,-8347,494,1
282,-9279,356,1
2170,-3496,191,1
747,-7655,428,1
310,-12442,589,1
412,-4941,698,1
282,-5222,603,1
1170,-3795,360,1
367,-5987,778,1
541,-9665,793,1
526,-5007,526,1
787,-4555,551,1
301,-5046,420,1
255,-10879,736,1
317,-9451,457,1
314,-6342,571,1
316,-9342,389,1
436,-6838,619,1
291,-5583,483,1
1290,-6400,158,1
716,-5194,502,1
636,-9818,623,1
292,-7462,502,1
584,-6281,406,1
1440,-8838,393,1
552,-10283,256,1
346,-25266,477,1
1770,-6679,818,1
346,-2940,483,1
1260,-5909,509,1
248,-4173,606,1
321,-9116,580,1
423,-6480,503,1
315,-3534,540,1
610,-6235,495,1
411,-25131,468,1
293,-4041,502,1
487,-6078,421,1
640,-5059,733,1
265,-14754,447,1
374,-6087,553,1
1490,-15366,792,1
376,-21350,254,1
371,-7995,592,1
303,-6185,586,1
479,-9249,504,1
567,-5858,461,1
619,-6789,642,1
296,-13680,515,1
384,-9511,432,1
338,-12490,588,1
426,-5404,429,1
606,-8526,532,1
1460,-7385,764,1
574,-6841,582,1
312,-13153,448,1
266,-5632,512,1
391,-2552,424,1
979,-7891,572,1
432,-9072,431,1
315,-3738,472,1
632,-4880,615,1
1200,-4563,525,1
422,-6069,284,1
392,-11455,607,1
243,-7250,498,1
1130,-8896,726,1
774,-2433,318,1
2090,-7638,531,1
390,-3252,288,1
983,-10244,699,1
1900,-3203,527,1
336,-6455,728,1
577,-7358,603,1
